datetime,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,total_proton_flux,new_time
2012-07-02 10:24:00,0.0181,0.0518,0.0237,0.0452,0.0512,0.00817,0.0212,0.0116,0.0112,0.00275,0.000686,0.245606,2012-06-22 09:56:00
2012-07-02 10:27:00,0.0542,0.013,0.0355,0.0181,0.0205,0.00817,0.0212,0.0116,0.0112,0.00275,0.00137,0.19759,2012-06-22 09:59:00
2012-07-02 10:44:00,0.0361,0.0259,0.0118,0.0271,0.0205,0.0327,0.0212,0.0116,0.00558,0.00275,0.00137,0.19660000000000002,2012-06-22 10:16:00
2012-07-07 16:53:00,0.0181,0.013,0.0237,0.00904,0.0103,0.00818,0.00708,0.0116,0.0112,0.00137,0.00137,0.11494,2012-06-27 16:25:00
2012-07-08 18:28:00,0.109,0.104,0.107,0.0271,0.0205,0.0164,0.00709,0.0233,0.00559,0.00137,0.00137,0.42272,2012-06-28 18:00:00
2012-07-08 19:01:00,0.127,0.039,0.0475,0.0453,0.0411,0.0082,0.0071,0.0117,0.0056,0.00413,0.000689,0.33731900000000004,2012-06-28 18:33:00
2012-07-08 19:12:00,0.163,0.0648,0.0355,0.0362,0.0103,0.0164,0.0142,0.0116,0.0112,0.00275,0.000687,0.36663699999999994,2012-06-28 18:44:00
2012-07-08 19:33:00,0.2,0.0651,0.0238,0.0273,0.0206,0.00822,0.0142,0.0117,0.00561,0.00138,0.00483,0.38273999999999997,2012-06-28 19:05:00
2012-07-08 19:38:00,0.145,0.0648,0.0593,0.00904,0.0205,0.00818,0.0213,0.0233,0.0112,0.00962,0.00481,0.37705,2012-06-28 19:10:00
2012-07-08 20:00:00,0.0904,0.0908,0.0356,0.0271,0.0103,0.0327,0.00709,0.0116,0.00559,0.00137,0.00344,0.31598999999999994,2012-06-28 19:32:00
2012-07-08 20:01:00,0.0544,0.052,0.0713,0.0272,0.0309,0.00821,0.00711,0.0117,0.0056,0.00414,0.00138,0.27393999999999996,2012-06-28 19:33:00
2012-07-08 20:08:00,0.0724,0.0908,0.119,0.0452,0.041,0.0164,0.0354,0.0233,0.0168,0.00688,0.00206,0.46924,2012-06-28 19:40:00
2012-07-08 20:22:00,0.0543,0.039,0.0237,0.0362,0.0308,0.0164,0.0213,0.0117,0.0112,0.00551,0.00138,0.25149,2012-06-28 19:54:00
2012-07-08 20:24:00,0.109,0.0778,0.0474,0.0271,0.0205,0.00818,0.0142,0.0116,0.00559,0.00275,0.00206,0.32617999999999997,2012-06-28 19:56:00
2012-07-08 20:25:00,0.0905,0.0649,0.0593,0.0181,0.0205,0.0327,0.0213,0.0117,0.0112,0.0055,0.00344,0.33913999999999994,2012-06-28 19:57:00
2012-07-08 20:27:00,0.0904,0.0519,0.083,0.0181,0.0205,0.00818,0.0142,0.0233,0.00559,0.00825,0.00206,0.32548,2012-06-28 19:59:00
2012-07-08 20:33:00,0.2,0.104,0.0357,0.0454,0.0206,0.0164,0.0142,0.0117,0.0168,0.00552,0.00207,0.47239000000000003,2012-06-28 20:05:00
2012-07-08 20:37:00,0.127,0.104,0.0711,0.00905,0.0103,0.00819,0.00709,0.0233,0.00559,0.0055,0.000688,0.3718079999999999,2012-06-28 20:09:00
2012-07-08 20:40:00,0.0905,0.0908,0.0474,0.0181,0.0103,0.0164,0.0354,0.0117,0.00559,0.0055,0.00138,0.33307,2012-06-28 20:12:00
2012-07-08 20:44:00,0.163,0.039,0.0832,0.00907,0.0309,0.00821,0.0213,0.0117,0.0112,0.00551,0.00138,0.38447,2012-06-28 20:16:00
2012-07-08 20:51:00,0.127,0.0909,0.107,0.0181,0.0205,0.0246,0.00709,0.0117,0.00559,0.00963,0.00206,0.42417,2012-06-28 20:23:00
2012-07-08 20:52:00,0.181,0.0778,0.0593,0.0271,0.0205,0.0164,0.0142,0.0117,0.0112,0.00688,0.00344,0.42952,2012-06-28 20:24:00
2012-07-08 20:53:00,0.181,0.182,0.083,0.00905,0.0103,0.0164,0.0142,0.035,0.0112,0.00825,0.00275,0.55315,2012-06-28 20:25:00
2012-07-08 20:55:00,0.0905,0.0908,0.083,0.0724,0.0103,0.0164,0.00709,0.035,0.0168,0.00138,0.00206,0.42573,2012-06-28 20:27:00
2012-07-08 21:01:00,0.109,0.104,0.0475,0.0453,0.0103,0.0164,0.0142,0.0117,0.0168,0.00138,0.00344,0.38001999999999997,2012-06-28 20:33:00
2012-07-08 21:12:00,0.109,0.0908,0.083,0.0362,0.0308,0.00819,0.0142,0.0117,0.00559,0.00413,0.00275,0.39635999999999993,2012-06-28 20:44:00
2012-07-08 21:22:00,0.0905,0.0519,0.083,0.0362,0.0411,0.0328,0.0355,0.0117,0.0168,0.00688,0.0055,0.4118799999999999,2012-06-28 20:54:00
2012-07-08 21:23:00,0.0905,0.143,0.0474,0.0543,0.0308,0.0164,0.0142,0.0117,0.0168,0.00825,0.00275,0.43609999999999993,2012-06-28 20:55:00
2012-07-08 21:25:00,0.163,0.0779,0.0237,0.0543,0.0103,0.00819,0.0213,0.0117,0.0336,0.00688,0.00275,0.41361999999999993,2012-06-28 20:57:00
2012-07-08 21:26:00,0.181,0.169,0.0356,0.0181,0.0513,0.00819,0.0213,0.0117,0.0112,0.00963,0.0055,0.52252,2012-06-28 20:58:00
2012-07-08 21:27:00,0.127,0.091,0.0238,0.0272,0.0206,0.0574,0.0284,0.035,0.0168,0.00964,0.00344,0.44027999999999995,2012-06-28 20:59:00
2012-07-08 21:28:00,0.0724,0.169,0.0712,0.0453,0.0205,0.0409,0.0213,0.0233,0.0224,0.00275,0.00413,0.49317999999999995,2012-06-28 21:00:00
2012-07-08 21:31:00,0.181,0.13,0.0356,0.0634,0.0205,0.0328,0.0284,0.0233,0.0056,0.00688,0.00551,0.5329900000000001,2012-06-28 21:03:00
2012-07-08 21:32:00,0.0726,0.13,0.0832,0.0272,0.0103,0.00821,0.0355,0.0234,0.0168,0.011,0.00414,0.4223499999999999,2012-06-28 21:04:00
2012-07-08 21:35:00,0.0907,0.065,0.0713,0.0907,0.0823,0.0328,0.00711,0.0117,0.028,0.00414,0.00276,0.48650999999999994,2012-06-28 21:07:00
2012-07-08 21:36:00,0.0724,0.117,0.083,0.0362,0.0513,0.0164,0.00709,0.0233,0.0168,0.00688,0.00482,0.43519,2012-06-28 21:08:00
2012-07-08 21:38:00,0.127,0.0389,0.0712,0.0272,0.0103,0.0246,0.0213,0.035,0.00559,0.00825,0.0055,0.3748399999999999,2012-06-28 21:10:00
2012-07-08 21:39:00,0.0905,0.0779,0.0593,0.0272,0.0411,0.0246,0.0142,0.0233,0.0112,0.00688,0.00275,0.3789299999999999,2012-06-28 21:11:00
2012-07-08 21:40:00,0.109,0.156,0.0594,0.0544,0.0309,0.0246,0.0213,0.0117,0.0056,0.00827,0.0062,0.48736999999999997,2012-06-28 21:12:00
2012-07-08 21:41:00,0.127,0.182,0.0712,0.0453,0.0205,0.0328,0.0567,0.0233,0.00559,0.00688,0.00275,0.57402,2012-06-28 21:13:00
2012-07-08 21:43:00,0.163,0.0908,0.0474,0.0271,0.0308,0.0164,0.0213,0.0117,0.0112,0.00275,0.00275,0.42519999999999997,2012-06-28 21:15:00
2012-07-08 21:44:00,0.109,0.065,0.0475,0.00907,0.0515,0.0575,0.00711,0.0117,0.0112,0.00689,0.00207,0.37854,2012-06-28 21:16:00
