datetime,speed,new_time
2012-07-01 00:00:00.000000,643.0,2012-06-20 23:58:26.890522
2012-07-01 02:00:00.000000,654.1,2012-06-21 01:58:26.890522
2012-07-01 03:00:00.000000,657.2,2012-06-21 02:58:26.890522
2012-07-01 04:00:00.000000,644.4,2012-06-21 03:58:26.890522
2012-07-01 05:00:00.000000,660.2,2012-06-21 04:58:26.890522
2012-07-01 06:00:00.000000,668.6,2012-06-21 05:58:26.890522
2012-07-01 07:00:00.000000,650.8,2012-06-21 06:58:26.890522
2012-07-01 08:00:00.000000,656.4,2012-06-21 07:58:26.890522
2012-07-01 09:00:00.000000,655.0,2012-06-21 08:58:26.890522
2012-07-01 10:00:00.000000,652.2,2012-06-21 09:58:26.890522
2012-07-01 11:00:00.000000,655.2,2012-06-21 10:58:26.890522
2012-07-01 12:00:00.000000,639.7,2012-06-21 11:58:26.890522
2012-07-01 13:00:00.000000,640.8,2012-06-21 12:58:26.890522
2012-07-01 14:00:00.000000,637.9,2012-06-21 13:58:26.890522
2012-07-01 15:00:00.000000,650.7,2012-06-21 14:58:26.890522
2012-07-01 16:00:00.000000,656.3,2012-06-21 15:58:26.890522
2012-07-01 17:00:00.000000,638.8,2012-06-21 16:58:26.890522
2012-07-01 18:00:00.000000,640.6,2012-06-21 17:58:26.890522
2012-07-01 19:00:00.000000,642.5,2012-06-21 18:58:26.890522
2012-07-01 20:00:00.000000,638.6,2012-06-21 19:58:26.890522
2012-07-01 21:00:00.000000,631.1,2012-06-21 20:58:26.890522
2012-07-01 22:00:00.000000,636.5,2012-06-21 21:58:26.890522
2012-07-01 23:00:00.000000,646.6,2012-06-21 22:58:26.890522
2012-07-02 00:00:00.000000,642.1,2012-06-21 23:58:26.890522
2012-07-02 01:00:00.000000,656.1,2012-06-22 00:58:26.890522
2012-07-02 02:00:00.000000,652.0,2012-06-22 01:58:26.890522
2012-07-02 03:00:00.000000,662.1,2012-06-22 02:58:26.890522
2012-07-02 05:00:00.000000,657.0,2012-06-22 04:58:26.890522
2012-07-02 06:00:00.000000,647.6,2012-06-22 05:58:26.890522
2012-07-02 07:00:00.000000,640.8,2012-06-22 06:58:26.890522
2012-07-02 08:00:00.000000,626.8,2012-06-22 07:58:26.890522
2012-07-02 09:00:00.000000,624.6,2012-06-22 08:58:26.890522
2012-07-02 10:00:00.000000,622.1,2012-06-22 09:58:26.890522
2012-07-02 11:00:00.000000,637.7,2012-06-22 10:58:26.890522
2012-07-02 12:00:00.000000,637.0,2012-06-22 11:58:26.890522
2012-07-02 13:00:00.000000,642.1,2012-06-22 12:58:26.890522
2012-07-02 14:00:00.000000,650.7,2012-06-22 13:58:26.890522
2012-07-02 15:00:00.000000,641.3,2012-06-22 14:58:26.890522
2012-07-02 16:00:00.000000,612.3,2012-06-22 15:58:26.890522
